COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CUF,"2998 W MCMICKEN AV
Cincinnati, OH
(39.1380835580419, -84.53185255199674)",SR12040398,CLOSED  ,Pothole repair,on OLD HOPPLE@  1109   at the end of the street by the nice hedges in front of the house is where the pothole is. SR12037227 was closed out nothing done per resident.09/04/2012 12:14 PM/DCOTTRELL - call back for pothole .,08/28/2012 12:00:00 AM,10:20 AM,HOPPLE ST & W MCMICKEN AV - GJ1331235008,29,STANDARD,PHONE,9900020123,08/28/2012 12:00:00 AM,DCOTTRELL,08/30/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1392215,421013,W 
COLLEGE HILL,"5712 NORTH WY
Cincinnati, OH
(39.195172520461824, -84.53862444687735)",SR12040329,CLOSED  ,Pothole repair,1 LARGE POTHOLE,08/27/2012 12:00:00 AM,4:35 PM,5712 NORTH WY - GJ1257941321 At Address 5712 NORTH WY,82.01,STANDARD,PHONE,23600020136,08/27/2012 12:00:00 AM,DTHOMAS,08/29/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1390845,441815,
MOUNT WASHINGTON,"1632 PUTNAM RD
Cincinnati, OH
(39.08611173796862, -84.40941885092786)",SR12040254,CLOSED  ,Pothole repair,PLEASE PATROL PUTNAM RD FOR NUMEROUS POTHOLES. SOME ARE STARTING TO GET VERY LARGE,08/27/2012 12:00:00 AM,1:35 PM,PUTNAM RD & SALEM HILLS LN - GJ2406929538 PUTNAM RD and SALEM HILLS LN,46.01,STANDARD,PHONE,700040031,08/27/2012 12:00:00 AM,DTHOMAS,08/29/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1426564,401344,
WESTWOOD,"2923 TIMBERCREST DR
Cincinnati, OH
(39.13542670226031, -84.5978291995503)",SR12040253,CLOSED  ,Pothole repair,POTHOLE ON QUEEN CITY AVE @ TIMBERCREST DR IN THE MIDDLE OF THE STREET,08/27/2012 12:00:00 AM,1:32 PM,QUEEN CITY AV & TIMBERCREST DR - GJ0762034467 At Address 2923 TIMBERCREST DR,102.02,STANDARD,PHONE,20800590125,08/27/2012 12:00:00 AM,DTHOMAS,08/29/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1373481,420171,
WESTWOOD,"2735 ORLAND AV
Cincinnati, OH
(39.135664381783045, -84.57431853822027)",SR12040202,CLOSED  ,Pothole repair, ,08/27/2012 12:00:00 AM,10:53 AM,2735 ORLAND AV - GJ0963934629,88,STANDARD,PHONE,20600090035,08/27/2012 12:00:00 AM,EMURPHY,08/29/2012 12:00:00 AM,,09/20/2012 12:00:00 AM,09/20/2012 12:00:00 AM,,1380120,420371,
CORRYVILLE,"201 E MARTIN LUTHER KING JR DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12040083,DUPLICAT,Pothole repair,Multiple potholes and ridges making a washboard effect.,08/24/2012 12:00:00 AM,9:20 PM,E MARTIN LUTHER KING JR DR & EDEN AV,32,STANDARD,INTERNET,10400040128,08/24/2012 12:00:00 AM,CSRWEB,08/26/2012 12:00:00 AM,,11/08/2012 12:00:00 AM,11/08/2012 12:00:00 AM,,1399639,419856,E 
WESTWOOD,"2392 FERGUSON RD
Cincinnati, OH
(39.1301965038449, -84.6006686736788)",SR12040038,CLOSED  ,Pothole repair,inbound side,08/24/2012 12:00:00 AM,1:36 PM,FERGUSON RD & HEGRY CIR,100.01,STANDARD,INTERNET,24800010268,08/24/2012 12:00:00 AM,CSRWEB,08/26/2012 12:00:00 AM,,09/20/2012 12:00:00 AM,09/20/2012 12:00:00 AM,,1372663,418626,
COLLEGE HILL,"1734 LLANFAIR AV
Cincinnati, OH
(39.1968902255378, -84.55021670783503)",SR12040019,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/24/2012 12:00:00 AM,12:38 PM,LLANFAIR AV & TWIN OAK DR,82.02,STANDARD,INTERNET,23300020075,08/24/2012 12:00:00 AM,CSRWEB,08/26/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1387479,442518,
SPRING GROVE VILLAGE,"717 FROOME AV
Cincinnati, OH
(39.17597199513631, -84.5167169622436)",SR12040003,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/24/2012 12:00:00 AM,11:36 AM,717 FROOME AV CINC - GJ1450939223,73,STANDARD,INTERNET,21900510051,08/24/2012 12:00:00 AM,CAGISMOB,08/26/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1396829,434630,
COLLEGE HILL,"1192 HOMESIDE AV
Cincinnati, OH
(39.19996590687799, -84.53904712823112)",SR12039927,CLOSED  ,Pothole repair,The Public Service patched one pothole on Homeside while there are many potholes near my home. I'm a elderly person and i'de wish someone would fix all the potholes on homeside or near my home and please contact me when someone is in this arear to fix thi,08/23/2012 12:00:00 AM,4:41 PM,1192 HOMESIDE AV CINC - GJ1251041874,82.01,STANDARD,INTERNET,23500030005,08/23/2012 12:00:00 AM,CSRWEB,08/25/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1390709,443640,
COLUMBIA TUSCULUM,"601 STANLEY AV
Cincinnati, OH
(39.119395646273006, -84.42959064404505)",SR12039854,CLOSED  ,Pothole repair,Not a break in the pavement.  This is a manhole that is sinking.,08/23/2012 12:00:00 AM,11:21 AM,601 STANLEY AV CINC - GJ2217733168,47.01,STANDARD,INTERNET,2600030052,08/23/2012 12:00:00 AM,CSRWEB,08/25/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1420961,413544,
NORTHSIDE,"4271 KIRBY AV
Cincinnati, OH
(39.16704172738537, -84.54652049429461)",SR12039726,CLOSED  ,Pothole repair,where it was recently patched,08/22/2012 12:00:00 AM,3:54 PM,KIRBY AV & BRUCE AV,78,STANDARD,INTERNET,19500300105,08/22/2012 12:00:00 AM,CSRWEB,08/24/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1388330,431653,
ROSELAWN,"1500 NORTHWOOD DR
Cincinnati, OH
(39.19894067976463, -84.46282958624795)",SR12039658,CLOSED  ,Pothole repair,It will probably cause a flat or some other damage to your car.,08/22/2012 12:00:00 AM,11:35 AM,1500 NORTHWOOD DR CINC - GJ1911341935,62.01,STANDARD,INTERNET,11700080119,08/22/2012 12:00:00 AM,CSRWEB,08/24/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1412354,442766,
NORTHSIDE,"4240 FLORIDA AV
Cincinnati, OH
(39.16662803925186, -84.54766263327184)",SR12039537,CLOSED  ,Pothole repair,There was a water main break in the street ant Water Works fixed the leak but did a very poor job resurfacing the pavement. It is bumpy and not level.  Our street was just resurfaced last year.,08/21/2012 12:00:00 AM,3:34 PM,4240 FLORIDA AV CINC - GJ1188038129,78,STANDARD,INTERNET,19500300074,08/21/2012 12:00:00 AM,CSRWEB,08/23/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1388036,431474,
HYDE PARK,"3624 MONTEITH AV
Cincinnati, OH
(39.14315573428712, -84.43661434909387)",SR12039504,CLOSED  ,Pothole repair,The potholes are on Monteith between Minto and Victoria south of the address.  There are no homes facing this block.,08/21/2012 12:00:00 AM,2:06 PM,3624 MONTEITH AV CINC - GJ2155235790,50,STANDARD,INTERNET,4000050017,08/21/2012 12:00:00 AM,CSRWEB,08/23/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,10/01/2012 12:00:00 AM,,1419342,422237,
EAST WALNUT HILLS,"1738 E MCMILLAN ST
Cincinnati, OH
(39.1249444631938, -84.47376534212424)",SR12039454,CLOSED  ,Pothole repair,large pothole 2 in deep ,08/21/2012 12:00:00 AM,11:19 AM,1738 E MCMILLAN ST - GJ1837033695,42,STANDARD,PHONE,6400020066,08/21/2012 12:00:00 AM,DCOTTRELL,08/23/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1408573,415889,E 
OVER-THE-RHINE,"209 W LIBERTY ST
Cincinnati, OH
(39.113082446394, -84.51951066785291)",SR12039434,CLOSED  ,Pothole repair,on Wade between Central Pkwy & Elm several various size potholes,08/21/2012 12:00:00 AM,10:21 AM,WADE ST & CENTRAL PKWY - GJ1434632246,9,STANDARD,PHONE,8100010067,08/21/2012 12:00:00 AM,DCOTTRELL,08/23/2012 12:00:00 AM,,08/23/2012 12:00:00 AM,08/23/2012 12:00:00 AM,TMACK,1395153,411798,W 
HEIGHTS,"2814 STRATFORD AV
Cincinnati, OH
(39.13369486653892, -84.52175316560772)",SR12039107,CLOSED  ,Pothole repair,NUMEROUS POTHOLES NEED FILLED IN JOSELIN ALLEY,08/20/2012 12:00:00 AM,12:05 PM,2814 STRATFORD AV - GJ1423134537 At Address 2814 STRATFORD AV,29,STANDARD,PHONE,10100060077,08/20/2012 12:00:00 AM,DTHOMAS,08/22/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1395150,419323,
SAYLER PARK,"6130 RIVER RD
Cincinnati, OH
(39.10317187686445, -84.68212026987248)",SR12038932,CLOSED  ,Pothole repair,CALLER STATES THIS STREET IS ONE HUGE POTHOLE. RESURFACING WOULD BE THE BEST BUT UNTIL THEN PLEASE FILL ALL OF THESE POTHOLES ON HILLSIDE AVE BETWEEN DART & THE CITY LIMITS. THE COUNTY OR SOMENE PAVED ONE HALF OF THE STREET.,08/20/2012 12:00:00 AM,9:27 AM,HILLSIDE AV & DART ST - GJ0048030848,104,STANDARD,PHONE,16300040113,08/20/2012 12:00:00 AM,DTHOMAS,08/22/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1349500,409476,
NORTHSIDE,"4271 KIRBY AV
Cincinnati, OH
(39.16704172738537, -84.54652049429461)",SR12038902,CLOSED  ,Pothole repair,Pothole/sinkhole has developed in the northbound lane of Kirby Avenue near the intersection with Bruce Avenue.  A section of pavement (5 feet x 8 feet +/-) has begun to sink.,08/20/2012 12:00:00 AM,8:28 AM,KIRBY AV & BRUCE AV,78,STANDARD,INTERNET,19500300105,08/20/2012 12:00:00 AM,CSRWEB,08/22/2012 12:00:00 AM,,08/23/2012 12:00:00 AM,08/23/2012 12:00:00 AM,TMACK,1388330,431653,
OAKLEY,"2800 MADISON RD
Cincinnati, OH
(39.14695986647109, -84.43953714568909)",SR12038877,CLOSED  ,Pothole repair,TURING LANE SOUTH BOUND,08/19/2012 12:00:00 AM,12:11 PM,2800 MADISON RD CINC - GJ2126436239,52,STANDARD,INTERNET,4000040062,08/19/2012 12:00:00 AM,CSRWEB,08/21/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1418470,423752,
AVONDALE,"864 HUTCHINS AV
Cincinnati, OH
(39.144954378345744, -84.48549250138632)",SR12038780,CLOSED  ,Pothole repair,There are several potholes on Hutchins Av. starting on Reading Rd. and 2 in front of 864 Hutchins Av.,08/17/2012 12:00:00 AM,1:12 PM,864 HUTCHINS AV - GJ1730635896,66,STANDARD,PHONE,10800020024,08/17/2012 12:00:00 AM,DSWEETEN,08/19/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1405447,423274,
NORTH AVONDALE,"3905 LEDGEWOOD DR
Cincinnati, OH
(39.15340800542117, -84.47366641670101)",SR12038698,CLOSED  ,Pothole repair,It is directly in front of the driveway of our home which is making it difficult to pull in and out without crossing into the oncoming lane. People are driving on the wrong side to avoid it.,08/16/2012 12:00:00 AM,4:36 PM,3905 LEDGEWOOD DR CINC - GJ1827736848,65,STANDARD,INTERNET,10900020008,08/16/2012 12:00:00 AM,CSRWEB,08/18/2012 12:00:00 AM,,08/23/2012 12:00:00 AM,08/23/2012 12:00:00 AM,TMACK,1408783,426237,
CALIFORNIA,"5851 LINNEMAN ST
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12038637,CLOSED  ,Pothole repair,1 LARGE  & OTHERS A LITTLE FURTHER DOWN,08/16/2012 12:00:00 AM,2:04 PM,5851 LINNEMAN ST - GJ2277027224 At Address 5851 LINNEMAN ST,45,STANDARD,PHONE,800020074,08/16/2012 12:00:00 AM,DTHOMAS,08/18/2012 12:00:00 AM,,09/02/2012 12:00:00 AM,09/02/2012 12:00:00 AM,MPOTTER,1421933,393973,
HARTWELL,"229 KEARNEY ST
Cincinnati, OH
(39.2103620695367, -84.46737116249591)",SR12038546,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/16/2012 12:00:00 AM,10:02 AM,229 KEARNEY ST CINC - GJ1868343158,60,STANDARD,INTERNET,24300040019,08/16/2012 12:00:00 AM,CSRWEB,08/18/2012 12:00:00 AM,,09/13/2012 12:00:00 AM,09/13/2012 12:00:00 AM,,1411146,446840,
MOUNT LOOKOUT,"701 REISLING KNOLL
Cincinnati, OH
(39.11945859881507, -84.42752220337763)",SR12038389,CLOSED  ,Pothole repair,PLEASE PATROL FOR NUMEROUS POTHOLES ON GRANDIN RD BETWEEN REISLING KNOLL & STANLEY AVE. SOME POTHOLES NEAR 701 CHARDONNAY RIDGE. PLEASE PATROL AREA,08/15/2012 12:00:00 AM,12:03 PM,GRANDIN RD & REISLING KNOLL - GJ2241633243 At Address 701 REISLING KNOLL,47.01,STANDARD,PHONE,2600040034,08/15/2012 12:00:00 AM,DTHOMAS,08/17/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1421752,413749,
WEST END,"1628 JOHN ST
Cincinnati, OH
(39.11416509485107, -84.52442076964775)",SR12038371,CLOSED  ,Pothole repair,IN refrence to SR12037949 (closed)-- Gary at MSD said they dye tested this no dye showing just needs to be filled in.,08/15/2012 12:00:00 AM,11:03 AM,BARD AL & POPLAR ST - GJ1405232419,15,STANDARD,PHONE,13300060234,08/15/2012 12:00:00 AM,DCOTTRELL,08/17/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/20/2012 12:00:00 AM,TMACK,1394217,412412,
NORTH AVONDALE,"930 BARRY LN
Cincinnati, OH
(39.156087985068496, -84.47842383023601)",SR12038357,CLOSED  ,Pothole repair,Glen Lyon between Barry lane and Avondale ave,08/15/2012 12:00:00 AM,10:25 AM,GLEN LYON AV & BARRY LN,65,STANDARD,INTERNET,11000030063,08/15/2012 12:00:00 AM,CSRWEB,08/17/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,10/01/2012 12:00:00 AM,,1407523,427194,
COLUMBIA TUSCULUM,"555 STANLEY AV
Cincinnati, OH
(39.118694175090184, -84.43057090505698)",SR12038354,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/15/2012 12:00:00 AM,10:12 AM,STANLEY AV & PERIGNON PL,47.01,STANDARD,INTERNET,2600030026,08/15/2012 12:00:00 AM,CSRWEB,08/17/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1420856,413318,
SAYLER PARK,"6432 HILLSIDE AV
Cincinnati, OH
(39.1113377208905, -84.68512400545035)",SR12038206,CLOSED  ,Pothole repair,PLEASE PATROL ROCKAWAY AVE BEWTEEN HILLSIDE AVE & REVERE AVE,08/14/2012 12:00:00 AM,12:10 PM,ROCKAWAY AV & HILLSIDE AV - GJ0013431705 At Address 6432 HILLSIDE AV,105,STANDARD,PHONE,16400030035,08/14/2012 12:00:00 AM,DTHOMAS,08/16/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1348505,412341,
WINTON HILLS,"45 TOPRIDGE PL
Cincinnati, OH
(39.18220872631852, -84.51137036151025)",SR12038065,CLOSED  ,Pothole repair,The 1st pothole is at the beginning of the street and the other one is in the circle of the street.,08/13/2012 12:00:00 AM,3:32 PM,45 TOPRIDGE PL CINC - GJ1492039919,80,STANDARD,INTERNET,23800020010,08/13/2012 12:00:00 AM,CSRWEB,08/15/2012 12:00:00 AM,,08/21/2012 12:00:00 AM,08/21/2012 12:00:00 AM,TMACK,1398290,436845,
CORRYVILLE,"23 W DANIELS ST
Cincinnati, OH
(39.13168937841357, -84.51052063346174)",SR12037807,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/10/2012 12:00:00 AM,2:37 PM,23 W DANIELS ST CINC - GJ1517834327,33,STANDARD,INTERNET,10200020242,08/10/2012 12:00:00 AM,CSRWEB,08/12/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1398223,418481,W 
SAYLER PARK,"225 ROCKAWAY AV
Cincinnati, OH
(39.11129275478902, -84.68558265968528)",SR12037721,CLOSED  ,Pothole repair,for more than a month there has been a traffic cone upside down completely buried in the hole - yes it's been there over a month! - and another one on top of it that alerts traffic,08/10/2012 12:00:00 AM,10:02 AM,225 ROCKAWAY AV CINC - GJ0008731704,105,STANDARD,INTERNET,16400070050,08/10/2012 12:00:00 AM,CSRWEB,08/12/2012 12:00:00 AM,,08/20/2012 12:00:00 AM,08/20/2012 12:00:00 AM,TMACK,1348350,412348,
WESTWOOD,"2951 LAFEUILLE AV
Cincinnati, OH
(39.14094340209505, -84.59031747712152)",SR12037698,CLOSED  ,Pothole repair,Northbound Lafeuille at intersection with Harrision Ave.   Major wash boarding for the last 30 feet before harrison.,08/10/2012 12:00:00 AM,8:45 AM,LAFEUILLE AV & HARRISON AV,100.01,STANDARD,INTERNET,20800610101,08/10/2012 12:00:00 AM,CSRWEB,08/12/2012 12:00:00 AM,,08/16/2012 12:00:00 AM,08/16/2012 12:00:00 AM,,1375689,422476,
CUF,"2366 FAIRVIEW AV
Cincinnati, OH
(39.12600566318838, -84.52875888421596)",SR12037642,CLOSED  ,Pothole repair,Wheels drop down in to pothole when parking. Hard to get out of parking spot when cars are parked closely together,08/09/2012 12:00:00 AM,3:01 PM,2366 FAIRVIEW AV CINC - GJ1364233665,27,STANDARD,INTERNET,9700020177,08/09/2012 12:00:00 AM,CSRWEB,08/11/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1393083,416563,
HARTWELL,"8365 MACE AV
Cincinnati, OH
(39.21467881527735, -84.46801867435704)",SR12037599,CLOSED  ,Pothole repair,sunken holes from utility repair,08/09/2012 12:00:00 AM,1:10 PM,8365 MACE AV CINC - GJ1857743655,60,STANDARD,INTERNET,24500050016,08/09/2012 12:00:00 AM,CSRWEB,08/11/2012 12:00:00 AM,,09/28/2012 12:00:00 AM,09/28/2012 12:00:00 AM,,1410878,448486,
CUF,"2172 ELYSIAN PL
Cincinnati, OH
(39.12217455134356, -84.51703172495388)",SR12037568,CLOSED  ,Pothole repair,Large pothole from curb out four feet and four feet wide (round) and 6 to 8 inches deep holds water and festers mosquitos. I can send a picture if you let me know where to email it thanks Charlie Wykoff,08/09/2012 12:00:00 AM,11:51 AM,2172 ELYSIAN PL CINC - GJ1466433270,25,STANDARD,INTERNET,9500050132,08/09/2012 12:00:00 AM,CSRWEB,08/11/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1396366,415104,
KENNEDY HEIGHTS,"3545 SECTION RD
Cincinnati, OH
(39.19469486057124, -84.41420784006726)",SR12037483,CLOSED  ,Pothole repair,Please contact Lou Dennis Work:  671-8000  Home:  2710308Mary Dennis is hard of hearing.  Thank You,08/08/2012 12:00:00 AM,11:10 PM,3545 SECTION RD CINC - GJ2333141533,58,STANDARD,INTERNET,12800010303,08/08/2012 12:00:00 AM,CSRWEB,08/10/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1426110,440760,
HYDE PARK,"2911 ZIEGLE AV
Cincinnati, OH
(39.140241930912225, -84.43461785418884)",SR12037480,CLOSED  ,Pothole repair,The street is filled with potholes and broken pavement. Some streets nearby were repaved but this area remains untouched.,08/08/2012 12:00:00 AM,9:17 PM,2911 ZIEGLE AV CINC - GJ2171535451,50,STANDARD,INTERNET,3900060019,08/08/2012 12:00:00 AM,CSRWEB,08/10/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1419820,421098,
WEST END,"1151 HARRISON AV
Cincinnati, OH
(39.122633205578495, -84.534469579102)",SR12037401,CLOSED  ,Pothole repair,large pothole on Winchell & Harrison intersection,08/08/2012 12:00:00 AM,12:06 PM,WINCHELL AV & HARRISON AV - GJ1313033285,14,STANDARD,PHONE,18400060115,08/08/2012 12:00:00 AM,DCOTTRELL,08/10/2012 12:00:00 AM,,08/16/2012 12:00:00 AM,08/16/2012 12:00:00 AM,,1391338,415401,
PADDOCK HILLS,"4599 PADDOCK RD
Cincinnati, OH
(39.16818386636254, -84.47867564040422)",SR12037382,CLOSED  ,Pothole repair,Potholes in the roadway,08/08/2012 12:00:00 AM,10:43 AM,TENNESSEE AV & PADDOCK RD - GJ1782338492,64,STANDARD,PHONE,11100060016,08/08/2012 12:00:00 AM,DSWEETEN,08/10/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1407562,431693,
AVONDALE,"3571 HAVEN ST
Cincinnati, OH
(39.14796710714387, -84.50527758603096)",SR12037345,CLOSED  ,Pothole repair,3 large potholes near address patrol the whole street.,08/08/2012 12:00:00 AM,9:07 AM,3571 HAVEN ST - GJ1556936169,69,STANDARD,PHONE,21600450083,08/08/2012 12:00:00 AM,DCOTTRELL,08/10/2012 12:00:00 AM,,09/11/2012 12:00:00 AM,09/11/2012 12:00:00 AM,,1399800,424452,
AVONDALE,"3723 BONFIELD DR
Cincinnati, OH
(39.15140251729582, -84.50336203010852)",SR12037314,CLOSED  ,Pothole repair,several large pothole on the street,08/08/2012 12:00:00 AM,7:03 AM,3723 BONFIELD DR - GJ1572036535,69,STANDARD,PHONE,21600390143,08/08/2012 12:00:00 AM,DCOTTRELL,08/10/2012 12:00:00 AM,,09/11/2012 12:00:00 AM,09/11/2012 12:00:00 AM,,1400355,425625,
AVONDALE,"3874 WASHINGTON AV
Cincinnati, OH
(39.15561134439292, -84.49447672845906)",SR12037294,CLOSED  ,Pothole repair,2 Potholes on Clinton Springs Av. and on Washington Av. her vehicle was damaged and damage info was given.,08/07/2012 12:00:00 AM,4:05 PM,CLINTON SPRINGS AV & WASHINGTON AV - GJ1650237083,68,STANDARD,PHONE,11200020056,08/07/2012 12:00:00 AM,DSWEETEN,08/09/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1403004,427292,
MADISONVILLE,"4715 MATHIS ST
Cincinnati, OH
(39.15703227319926, -84.39110865441131)",SR12037272,CLOSED  ,Pothole repair,PLEASE PATROL MATHIS ST @ NAVARRE PL FOR  LARGE POTHOLE08/07/2012 2:01 PM/KMALONE - The porthole is in the unnamed alley in the rear of 4715 Mathis St.,08/07/2012 12:00:00 AM,1:54 PM,4715 MATHIS ST - GJ2540437446 MATHIS ST and NAVARRE PL,56,STANDARD,PHONE,3600040134,08/07/2012 12:00:00 AM,DTHOMAS,08/09/2012 12:00:00 AM,,10/03/2012 12:00:00 AM,10/03/2012 12:00:00 AM,,1432227,427031,
KENNEDY HEIGHTS,"5704 VALLEYVIEW AV
Cincinnati, OH
(39.175063679886705, -84.41342083395824)",SR12037261,CLOSED  ,Pothole repair,PATROL FOR POTHOLES BETWEEN 5704 TO 5858 VALLEYVIEW AVE,08/07/2012 12:00:00 AM,1:14 PM,5704 VALLEYVIEW AV - GJ2345939396 At Address 5704 VALLEYVIEW AV,58,STANDARD,PHONE,12700040061,08/07/2012 12:00:00 AM,DTHOMAS,08/09/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1426175,433737,
KENNEDY HEIGHTS,"3609 CONGREVE AV
Cincinnati, OH
(39.17610063913231, -84.41433137497282)",SR12037258,CLOSED  ,Pothole repair,PATROL FOR NUMEROUS POTHOLES,08/07/2012 12:00:00 AM,1:10 PM,3609 CONGREVE AV - GJ2322339494 CONGREVE AV and KENNEDY AV and ROBISON RD,58,STANDARD,PHONE,12700040041,08/07/2012 12:00:00 AM,DTHOMAS,08/09/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1425416,434095,
PLEASANT RIDGE,"5775 KENNEDY AV
Cincinnati, OH
(39.1750367002258, -84.4164245695361)",SR12037256,CLOSED  ,Pothole repair,IN NEED OF POTHOLE PATROL BETWEEN 3630 TO 3707 KENNEDY AVE,08/07/2012 12:00:00 AM,1:07 PM,5775 KENNEDY AV - GJ2316239382 At Address 5775 KENNEDY AV,57.02,STANDARD,PHONE,12700060193,08/07/2012 12:00:00 AM,DTHOMAS,08/09/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1425198,433738,
CUF,"3030 CENTRAL PKWY
Cincinnati, OH
(39.138144960906445, -84.53286392013804)",SR12037228,CLOSED  ,Pothole repair,several potholes on Short Hopple between Central Pwky and Mcmicken  ,08/07/2012 12:00:00 AM,11:12 AM,3030 CENTRAL PKWY - GJ1325135098,29,STANDARD,PHONE,9900010006,08/07/2012 12:00:00 AM,DCOTTRELL,08/09/2012 12:00:00 AM,,09/14/2012 12:00:00 AM,09/14/2012 12:00:00 AM,,1392033,421319,
EVANSTON,"3323 BONAPARTE AV
Cincinnati, OH
(39.1379216800766, -84.46844135571081)",SR12037220,CLOSED  ,Pothole repair,large pothole middle of road,08/07/2012 12:00:00 AM,10:49 AM,3323 BONAPARTE AV - GJ1878035137,39,STANDARD,PHONE,5400040103,08/07/2012 12:00:00 AM,DCOTTRELL,08/09/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,10/01/2012 12:00:00 AM,,1410149,420545,
WEST END,"945 FINDLAY ST
Cincinnati, OH
(39.11629298527197, -84.53097121640803)",SR12037180,CLOSED  ,Pothole repair,2 large potholes,08/07/2012 12:00:00 AM,8:51 AM,945 FINDLAY ST - GJ1345932571,15,STANDARD,PHONE,18400020025,08/07/2012 12:00:00 AM,DCOTTRELL,08/09/2012 12:00:00 AM,,08/15/2012 12:00:00 AM,08/15/2012 12:00:00 AM,,1392302,413006,
WALNUT HILLS,"2200 KEMPER LN
Cincinnati, OH
(39.120465839487906, -84.48844227764243)",SR12037152,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,08/06/2012 12:00:00 AM,9:45 PM,KEMPER LN & LURAY AV,20,STANDARD,INTERNET,6300040027,08/06/2012 12:00:00 AM,CSRWEB,08/08/2012 12:00:00 AM,,08/23/2012 12:00:00 AM,08/23/2012 12:00:00 AM,TMACK,1404434,414266,
