COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
OVER-THE-RHINE,"1600 VINE ST
Cincinnati, OH
(39.11302844630558, -84.51593455207814)",Graffiti removal,SR12044790,CLOSED  ,Red writing and black writing (looks like an arabic letter phrase),09/26/2012 12:00:00 AM,11:58 AM,E LIBERTY ST & VINE ST,10,STANDARD,INTERNET,9400070036,09/26/2012 12:00:00 AM,CSRWEB,10/26/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1396570,411695,
CUF,"176 WARNER ST
Cincinnati, OH
(39.12475560556766, -84.5192980164677)",Graffiti removal,SR12044712,CLOSED  ,You will need to access graffiti from roof of adjacent garage. I am owner of garage and can provide access to graffiti. I have submitted this request before a few weeks ago.,09/26/2012 12:00:00 AM,12:17 AM,176 WARNER ST CINC - GJ1444333562,25,STANDARD,INTERNET,10000020336,09/26/2012 12:00:00 AM,CSRWEB,10/26/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1395690,416096,
CUF,"2334 CLIFTON AV
Cincinnati, OH
(39.12482246664499, -84.51972490311756)",Graffiti removal,SR12044711,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/26/2012 12:00:00 AM,12:13 AM,2334 CLIFTON AV CINC - GJ1442133568,25,STANDARD,INTERNET,10000020324,09/26/2012 12:00:00 AM,CSRWEB,10/26/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1395617,416119,
WEST END,"2229 BUCK ST
Cincinnati, OH
(39.124216012350075, -84.53684378925936)",Graffiti removal,SR12044704,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/25/2012 12:00:00 AM,6:41 PM,WESTERN HILLS VIA & I-75 SB EXWY,1,STANDARD,INTERNET,18700090070,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1390667,416050,
CBD/RIVERFRONT,"914 MAIN ST
Cincinnati, OH
(39.10623856498438, -84.5108533826126)",Graffiti removal,SR12044701,CLOSED  ,Large black graffiti. OTE,09/25/2012 12:00:00 AM,5:11 PM,914 MAIN ST CINC - GJ1523331527,7,STANDARD,INTERNET,7900020004,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1397950,409301,
MOUNT ADAMS,"995 PARADROME ST
Cincinnati, OH
(39.109755433458865, -84.49535752705786)",Graffiti removal,SR12044699,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/25/2012 12:00:00 AM,4:40 PM,CARNEY ST & PARADROME ST,13,STANDARD,INTERNET,7200010372,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1402429,410461,
MOUNT ADAMS,"1021 PARKSIDE PL
Cincinnati, OH
(39.11034846665825, -84.49368532507327)",Graffiti removal,SR12044610,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/25/2012 12:00:00 AM,12:21 PM,MARTIN DR & PARKSIDE PL,13,STANDARD,INTERNET,7200020189,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1402996,410630,
EAST WALNUT HILLS,"1908 KEMPER LN
Cincinnati, OH
(39.11791361288138, -84.48510596490318)",Graffiti removal,SR12044609,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/25/2012 12:00:00 AM,12:20 PM,KEMPER LN & COLUMBIA PKWY,20,STANDARD,INTERNET,3300010141,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,11/05/2012 12:00:00 AM,11/05/2012 12:00:00 AM,,1405342,413302,
OAKLEY,"3533 CARDIFF AV
Cincinnati, OH
(39.1550447715145, -84.41786348478297)",Graffiti removal,SR12044600,CLOSED  ,Both buildings belong to Don Gilman owner of Lyric Optical Company 513-321-2456. This is his business location. He has advised the officer he will sign paperwork to allow the clean-up of the graffiti.,09/25/2012 12:00:00 AM,11:50 AM,3533 CARDIFF AV CINC - GJ2312137147,53,STANDARD,INTERNET,5100040034,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/22/2012 12:00:00 AM,10/22/2012 12:00:00 AM,,1424700,426427,
WEST END,"2175 CENTRAL AV
Cincinnati, OH
(39.121600322043044, -84.5318918940565)",Graffiti removal,SR12044589,CLOSED  ,This is a second request for removal the first about three weeks ago. Since then some black graffiti has been added to the very large areas of green graffiti. I regret that this was not taken care of at the same time that another site on Harrison only a h,09/25/2012 12:00:00 AM,11:12 AM,CENTRAL PKWY & COLERAIN AV,15,STANDARD,INTERNET,13200010038,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1392080,415091,
CUF,"261 W MCMILLAN ST
Cincinnati, OH
(39.12801115131373, -84.52213088086)",Graffiti removal,SR12044543,CLOSED  ,The graffiti is on the back of all the shutters and this is my second request to have it removed; more has come since the first request was submitted.,09/25/2012 12:00:00 AM,8:44 AM,261 W MCMILLAN ST CINC - GJ1418833886,26,STANDARD,INTERNET,10000010146,09/25/2012 12:00:00 AM,CSRWEB,10/25/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1394905,417199,W 
MOUNT ADAMS,"943 MONASTERY ST
Cincinnati, OH
(39.10695802260784, -84.50223787757187)",Graffiti removal,SR12044508,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,7:07 PM,MONASTERY ST & OREGON ST,12,STANDARD,INTERNET,7300020329,09/24/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1400379,409427,
CBD/RIVERFRONT,"105 I-71 NB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12044507,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,7:06 PM,E 5TH ST & PIKE ST,6,STANDARD,INTERNET,GJ1584131127      ,09/24/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1399875,407866,
MOUNT ADAMS,"391 BAUM ST
Cincinnati, OH
(39.105555080242084, -84.50134754876291)",Graffiti removal,SR12044506,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,7:04 PM,KILGOUR ST & MONASTERY ST,12,STANDARD,INTERNET,7900060100,09/24/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1400629,408722,
OVER-THE-RHINE,"1804 VINE ST
Cincinnati, OH
(39.11583433103698, -84.51663602326101)",Graffiti removal,SR12044487,CLOSED  ,GRAFFITI IN THE FRONT OF THE BUILDING,09/24/2012 12:00:00 AM,3:42 PM,1804 VINE ST - GJ1472932575 At Address 1804 VINE ST,17,STANDARD,PHONE,9400050318,09/24/2012 12:00:00 AM,DTHOMAS,10/24/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1396463,412812,
NORTHSIDE,"1899 WEST FORK RD
Cincinnati, OH
(39.160000035895905, -84.5651544467417)",Graffiti removal,SR12044411,CLOSED  ,Graffiti in the Millcreek Walls which are visible from the address of 1899 West Fork Rd.  If for some reason this can't be done call Mr  Zimmerman we wants to know why.,09/24/2012 12:00:00 AM,12:33 PM,1899 WEST FORK RD - GJ1038137339,85.02,STANDARD,PHONE,22600050148,09/24/2012 12:00:00 AM,DSWEETEN,10/24/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1382993,429128,
NORTHSIDE,"1433 CHASE AV
Cincinnati, OH
(39.163066724015835, -84.53619627739829)",Graffiti removal,SR12044398,CLOSED  ,At the northwest corner of Chase and Fergus in white letters BC on the stop sign.,09/24/2012 12:00:00 AM,11:46 AM,CHASE AV & FERGUS ST,74,STANDARD,INTERNET,22100190199,09/24/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1391177,430123,
HEIGHTS,"42 CALHOUN ST
Cincinnati, OH
(39.12808309707606, -84.5125081351465)",Graffiti removal,SR12044326,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/24/2012 12:00:00 AM,9:42 AM,42 CALHOUN ST CINC - GJ1500433950,30,STANDARD,INTERNET,10200050209,09/24/2012 12:00:00 AM,CAGISMOB,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1397590,417277,
OVER-THE-RHINE,"226 E 12TH ST
Cincinnati, OH
(39.10940633075986, -84.51056482057399)",Graffiti removal,SR12044284,CLOSED  ,Graffiti on control box,09/24/2012 12:00:00 AM,7:49 AM,226 E 12TH ST - GJ1526131885,10,STANDARD,PHONE,7500040018,09/24/2012 12:00:00 AM,LSHACKELFORD,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1398093,410464,E 
OVER-THE-RHINE,"1200 MAIN ST
Cincinnati, OH
(39.109251293782506, -84.5116267995578)",Graffiti removal,SR12044283,CLOSED  ,Graffiti on side of building,09/24/2012 12:00:00 AM,7:45 AM,1200 MAIN ST - GJ1517231854,10,STANDARD,PHONE,7500040001,09/24/2012 12:00:00 AM,LSHACKELFORD,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1397797,410379,
OVER-THE-RHINE,"209 E 12TH ST
Cincinnati, OH
(39.109242300562244, -84.51115015888223)",Graffiti removal,SR12044282,CLOSED  ,Graffiti on building,09/24/2012 12:00:00 AM,7:42 AM,209 E 12TH ST - GJ1519931833,10,STANDARD,PHONE,7500040201,09/24/2012 12:00:00 AM,LSHACKELFORD,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1397882,410305,E 
PENDLETON,"420 E 12TH ST
Cincinnati, OH
(39.10984484632189, -84.50743595890123)",Graffiti removal,SR12044279,CLOSED  ,Graffiti on building,09/24/2012 12:00:00 AM,7:39 AM,420 E 12TH ST - GJ1551231938,11,STANDARD,PHONE,7500030065,09/24/2012 12:00:00 AM,LSHACKELFORD,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1398924,410599,E 
NORTHSIDE,"3730 COLERAIN AV
Cincinnati, OH
(39.155089737615924, -84.54260844346715)",Graffiti removal,SR12044277,CLOSED  ,Graffiti all over building,09/24/2012 12:00:00 AM,7:35 AM,3730 COLERAIN AV - GJ1236136872,78,STANDARD,PHONE,19300020002,09/24/2012 12:00:00 AM,LSHACKELFORD,10/24/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1389404,427278,
AVONDALE,"3438 DURY AV
Cincinnati, OH
(39.1437223071656, -84.50557436230059)",Graffiti removal,SR12044270,CLOSED  ,We tried to remove with a prssure washer,09/24/2012 12:00:00 AM,7:11 AM,3438 DURY AV CINC - GJ1559535689,69,STANDARD,INTERNET,11300050156,09/24/2012 12:00:00 AM,CSRWEB,10/24/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1399813,422875,
HEIGHTS,"602 STRAIGHT ST
Cincinnati, OH
(39.13004361909992, -84.52619581643245)",Graffiti removal,SR12044267,CLOSED  ,At least 3 large tags on an early 1900s stone wall. Near where Ravine meets Straight Street.,09/23/2012 12:00:00 AM,11:02 PM,602 STRAIGHT ST CINC - GJ1383334133,29,STANDARD,INTERNET,9800040111,09/23/2012 12:00:00 AM,CSRWEB,10/23/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1393780,418066,
NORTHSIDE,"4210 LANGLAND ST
Cincinnati, OH
(39.16355235791167, -84.53806686721919)",Graffiti removal,SR12044221,CLOSED  ,Heading north on Langland take a right and head east onto Coates Alley. Where the buliding ends on the right look by the back door. In white lettters  WHITE POWER with a swatchka symbol under the letters.,09/21/2012 12:00:00 AM,4:19 PM,4210 LANGLAND ST CINC - GJ1271137817,74,STANDARD,INTERNET,19600230243,09/21/2012 12:00:00 AM,CSRWEB,10/21/2012 12:00:00 AM,,10/18/2012 12:00:00 AM,10/18/2012 12:00:00 AM,,1390710,430319,
NORTHSIDE,"4231 SPRING GROVE AV
Cincinnati, OH
(39.159730239287114, -84.53256301639988)",Graffiti removal,SR12043869,CLOSED  ,the  Graffitti is on the overpass collums of I-74 not on expressway but under it off Spring Grove &Pass. this At I -74 on ramp / Ralston / Spring Grove. over pass colloms by the Millcreek.,09/20/2012 12:00:00 AM,11:33 AM,SPRING GROVE AV & WILLIAM P DOOLEY BYPS - GJ1321737385,74,STANDARD,PHONE,22100190106,09/20/2012 12:00:00 AM,DCOTTRELL,10/20/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1392291,428817,
WEST PRICE HILL,"4012 AKOCHIA AV
Cincinnati, OH
(39.12310085303375, -84.57890508056971)",Graffiti removal,SR12043788,CLOSED  ,Graffiti on side of house,09/20/2012 12:00:00 AM,6:55 AM,4012 AKOCHIA AV - GJ0929633244,98,STANDARD,PHONE,18100040098,09/20/2012 12:00:00 AM,LSHACKELFORD,10/20/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1378771,415891,
NORTHSIDE,"4206 BROOKSIDE AV
Cincinnati, OH
(39.16348041214934, -84.53907410789202)",Graffiti removal,SR12043786,CLOSED  ,In white letters on the buliding COIV and in red letters on the electric box BC.,09/19/2012 12:00:00 AM,9:51 PM,4206 BROOKSIDE AV CINC - GJ1263437814,74,STANDARD,INTERNET,19600230076,09/19/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,10/24/2012 12:00:00 AM,10/24/2012 12:00:00 AM,,1390456,430321,
NORTHSIDE,"1428 CHASE AV
Cincinnati, OH
(39.16317403638325, -84.53547170750727)",Graffiti removal,SR12043785,CLOSED  ,On the rear side of the stop sign. Sign is located at the northwest corner of Mad Anthony and Chase. In black letters TEMPER.,09/19/2012 12:00:00 AM,9:45 PM,MAD ANTHONY ST & CHASE AV,74,STANDARD,INTERNET,22100200043,09/19/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1391420,430127,
NORTHSIDE,"1433 CHASE AV
Cincinnati, OH
(39.163066724015835, -84.53619627739829)",Graffiti removal,SR12043784,CLOSED  ,On the opposite side of STOP and on the side of the sign facing Chase. TEMAERI is written in black letters. The sign is on the northwest corner.,09/19/2012 12:00:00 AM,9:37 PM,CHASE AV & FERGUS ST,74,STANDARD,INTERNET,22100190199,09/19/2012 12:00:00 AM,CSRWEB,10/19/2012 12:00:00 AM,,09/27/2012 12:00:00 AM,09/27/2012 12:00:00 AM,,1391177,430123,
CUF,"209 W MCMILLAN ST
Cincinnati, OH
(39.12785826656875, -84.51981063002444)",Graffiti removal,SR12043593,CLOSED  ,Graffiti in rear of building on wall,09/19/2012 12:00:00 AM,7:25 AM,209 W MCMILLAN ST - GJ1439133885,26,STANDARD,PHONE,10000020353,09/19/2012 12:00:00 AM,LSHACKELFORD,10/19/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1395570,417160,W 
CUF,"213 W MCMILLAN ST
Cincinnati, OH
(39.12787625300933, -84.52009841307381)",Graffiti removal,SR12043591,INPROGRS,Graffiti on parking lot side,09/19/2012 12:00:00 AM,7:22 AM,213 W MCMILLAN ST - GJ1437533883,26,STANDARD,PHONE,10000020140,09/19/2012 12:00:00 AM,LSHACKELFORD,10/19/2012 12:00:00 AM,,10/16/2012 12:00:00 AM,10/16/2012 12:00:00 AM,,1395517,417157,W 
CUF,"2217 CLIFTON AV
Cincinnati, OH
(39.1228874464446, -84.52022782624562)",Graffiti removal,SR12043590,CLOSED  ,Graffiti on north side of building,09/19/2012 12:00:00 AM,7:18 AM,2217 CLIFTON AV - GJ1436633394,26,STANDARD,PHONE,9500010073,09/19/2012 12:00:00 AM,LSHACKELFORD,10/19/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1395407,415554,
CUF,"247 W MCMILLAN ST
Cincinnati, OH
(39.12798417165283, -84.52164524696417)",Graffiti removal,SR12043588,CLOSED  ,Graffiti on side of building,09/19/2012 12:00:00 AM,6:56 AM,247 W MCMILLAN ST - GJ1423133884,26,STANDARD,PHONE,10000020003,09/19/2012 12:00:00 AM,LSHACKELFORD,10/19/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1395043,417182,W 
CUF,"2385 VINE ST
Cincinnati, OH
(39.12599666996812, -84.51287685717853)",Graffiti removal,SR12043587,CLOSED  ,Graffiti on wall,09/19/2012 12:00:00 AM,6:52 AM,2385 VINE ST - GJ1497833709,25,STANDARD,PHONE,10000040022,09/19/2012 12:00:00 AM,LSHACKELFORD,10/19/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1397464,416486,
CUF,"2400 W MCMICKEN AV
Cincinnati, OH
(39.12569987492989, -84.53192127179291)",Graffiti removal,SR12043518,INPROGRS,Graffiti on the buildings on McMillian between Ravine St and W Clifton Av.,09/18/2012 12:00:00 AM,2:16 PM,2400 W MCMICKEN AV - GJ1336133604,27,STANDARD,PHONE,9700010036,09/18/2012 12:00:00 AM,DSWEETEN,10/18/2012 12:00:00 AM,,,09/24/2012 12:00:00 AM,,1392150,416407,W 
CUF,"2100 RAVINE ST
Cincinnati, OH
(39.12144610049984, -84.5261148774498)",Graffiti removal,SR12043516,CLOSED  ,Graffiti on the buildings on the East Side of the street up to Clifton Av.,09/18/2012 12:00:00 AM,2:13 PM,2100 RAVINE ST - GJ1387633168,16,STANDARD,PHONE,9600040027,09/18/2012 12:00:00 AM,DSWEETEN,10/18/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1393764,414895,
MOUNT AUBURN,"2301 AUBURN AV
Cincinnati, OH
(39.12366742591223, -84.50847917245522)",Graffiti removal,SR12043513,CLOSED  ,Graffiti on a retaining wall at Glencoe Av.,09/18/2012 12:00:00 AM,2:05 PM,2301 AUBURN AV - GJ1537033410,23,STANDARD,PHONE,8800090093,09/18/2012 12:00:00 AM,DSWEETEN,10/18/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1398697,415444,
WEST PRICE HILL,"4008 AKOCHIA AV
Cincinnati, OH
(39.12309185981343, -84.57876118904505)",Graffiti removal,SR12043294,CLOSED  ,graffiti on two buildings at 4008 Akochia Av and 4012 Akochia ,09/17/2012 12:00:00 AM,11:21 AM,4008 AKOCHIA AV - GJ0930933242,98,STANDARD,PHONE,18100040093,09/17/2012 12:00:00 AM,DSWEETEN,10/17/2012 12:00:00 AM,,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,,1378815,415882,
WESTWOOD,"3372 GEROLD DR
Cincinnati, OH
(39.13562840890188, -84.61735109732228)",Graffiti removal,SR12043285,CLOSED  ,This house has been abandoned for almost 3 years and the banks are doing NOTHING to ensure its condition.  Local kids continually break into it and vandalize it and the lawn care people are not removing debris. The house just on my other side is also vaca,09/17/2012 12:00:00 AM,11:00 AM,3372 GEROLD DR CINC - GJ0593434552,109,STANDARD,INTERNET,21200670136,09/17/2012 12:00:00 AM,CSRWEB,10/17/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1367974,420726,
OVER-THE-RHINE,"208 E 13TH ST
Cincinnati, OH
(39.10992578530448, -84.51131203684753)",Graffiti removal,SR12043194,CLOSED  ,Graffiti on side of building,09/17/2012 12:00:00 AM,6:57 AM,208 E 13TH ST - GJ1517731937,10,STANDARD,PHONE,7500040043,09/17/2012 12:00:00 AM,LSHACKELFORD,10/17/2012 12:00:00 AM,,09/17/2012 12:00:00 AM,09/17/2012 12:00:00 AM,,1397825,410651,E 
OVER-THE-RHINE,"1216 MAIN ST
Cincinnati, OH
(39.109691961576914, -84.51174371142162)",Graffiti removal,SR12043193,CLOSED  ,Graffiti on side of building,09/17/2012 12:00:00 AM,6:49 AM,1216 MAIN ST - GJ1516331902,10,STANDARD,PHONE,7500040007,09/17/2012 12:00:00 AM,LSHACKELFORD,10/17/2012 12:00:00 AM,,09/17/2012 12:00:00 AM,09/17/2012 12:00:00 AM,,1397776,410539,
OVER-THE-RHINE,"1114 JACKSON ST
Cincinnati, OH
(39.10783935819654, -84.51380315886871)",Graffiti removal,SR12043192,CLOSED  ,Graffiti on rear of building,09/17/2012 12:00:00 AM,6:42 AM,1114 JACKSON ST - GJ1498631702,10,STANDARD,PHONE,7600020087,09/17/2012 12:00:00 AM,LSHACKELFORD,10/17/2012 12:00:00 AM,,09/17/2012 12:00:00 AM,09/17/2012 12:00:00 AM,,1397161,409912,
MOUNT AUBURN,"2302 VINE ST
Cincinnati, OH
(39.12363145303101, -84.51447765039069)",Graffiti removal,SR12043080,CLOSED  ,Tag on side of building and says Alpha.,09/14/2012 12:00:00 AM,1:59 PM,2302 VINE ST - GJ1488333436,23,STANDARD,PHONE,9300020013,09/14/2012 12:00:00 AM,ACURRY,10/14/2012 12:00:00 AM,,10/30/2012 12:00:00 AM,10/30/2012 12:00:00 AM,,1397108,415607,
CUF,"261 W MCMILLAN ST
Cincinnati, OH
(39.12801115131373, -84.52213088086)",Graffiti removal,SR12043015,CLOSED  ,Graffiti is on the back of all the shutters and need to be painted. We have paint in the storage area of the cafe.,09/14/2012 12:00:00 AM,10:08 AM,261 W MCMILLAN ST CINC - GJ1418833886,26,STANDARD,INTERNET,10000010146,09/14/2012 12:00:00 AM,CSRWEB,10/14/2012 12:00:00 AM,,10/30/2012 12:00:00 AM,10/30/2012 12:00:00 AM,,1394905,417199,W 
MOUNT WASHINGTON,"6109 MORROW ST
Cincinnati, OH
(39.090266605744034, -84.38943591543682)",Graffiti removal,SR12042922,CLOSED  ,graffiti on the concrete wall at Morrow and Sutton,09/13/2012 12:00:00 AM,3:55 PM,SUTTON AV & MORROW ST,46.02,STANDARD,INTERNET,100030296,09/13/2012 12:00:00 AM,CSRWEB,10/13/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1432165,402717,
AVONDALE,"3561 IRVING ST
Cincinnati, OH
(39.148551666462936, -84.50789461313622)",Graffiti removal,SR12042870,CLOSED  ,Graffiti on front wall of house,09/13/2012 12:00:00 AM,1:34 PM,3561 IRVING ST - GJ1534736224,69,STANDARD,PHONE,21600470103,09/13/2012 12:00:00 AM,LSHACKELFORD,10/13/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1399083,424666,
EVANSTON,"2200 DANA AV
Cincinnati, OH
(39.145404039360415, -84.45853082694794)",Graffiti removal,SR12042864,CLOSED  ,Large graffiti on side of building,09/13/2012 12:00:00 AM,1:09 PM,2200 DANA AV - GJ1966536061,40,STANDARD,PHONE,5700010022,09/13/2012 12:00:00 AM,LSHACKELFORD,10/13/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1413200,423429,
HEIGHTS,"2845 CLIFTON AV
Cincinnati, OH
(39.133890682049994, -84.52031393381235)",Graffiti removal,SR12042863,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,09/13/2012 12:00:00 AM,1:07 PM,PROBASCO ST & CLIFTON AV,29,STANDARD,INTERNET,10100060084,09/13/2012 12:00:00 AM,CSRWEB,10/13/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1395522,419593,
WEST END,"1100 HARRISON AV
Cincinnati, OH
(39.12218354456388, -84.53266194182311)",Graffiti removal,SR12042832,CLOSED  ,ON CEMENT WALL THAT SURROUNDS PARKING LOT/KNEE HIGH,09/13/2012 12:00:00 AM,11:49 AM,1100 HARRISON AV - GJ1328633211 At Address 1100 HARRISON AV,14,STANDARD,PHONE,18700070115,09/13/2012 12:00:00 AM,DTHOMAS,10/13/2012 12:00:00 AM,,09/18/2012 12:00:00 AM,09/18/2012 12:00:00 AM,,1391839,415133,
MOUNT ADAMS,"309 OREGON ST
Cincinnati, OH
(39.10470842034669, -84.49796196787865)",Graffiti removal,SR12042710,CLOSED  ,On your map entrance to walkway is at 304 Oregon.,09/12/2012 12:00:00 AM,3:48 PM,309 OREGON ST CINC - GJ1635131388,12,STANDARD,INTERNET,7900060317,09/12/2012 12:00:00 AM,CSRWEB,10/12/2012 12:00:00 AM,,10/09/2012 12:00:00 AM,10/09/2012 12:00:00 AM,,1401583,408663,
HEIGHTS,"2515 CLIFTON AV
Cincinnati, OH
(39.12861855948742, -84.52086700913823)",Graffiti removal,SR12042624,CLOSED  ,IN COURT YARD ON MCMILLAN ST/BELOW 10 FT,09/12/2012 12:00:00 AM,11:03 AM,2515 CLIFTON AV - GJ1425633976 At Address 2515 CLIFTON AV,26,STANDARD,PHONE,10100070082,09/12/2012 12:00:00 AM,DTHOMAS,10/12/2012 12:00:00 AM,,11/26/2012 12:00:00 AM,11/26/2012 12:00:00 AM,,1395140,417481,
CUF,"2401 VINE ST
Cincinnati, OH
(39.12620351403484, -84.51270598599297)",Graffiti removal,SR12042610,CLOSED  ,GRAFFITI IN REAR BELOW 10 FT,09/12/2012 12:00:00 AM,10:47 AM,2401 VINE ST - GJ1500233742 At Address 2401 VINE ST,25,STANDARD,PHONE,10000040041,09/12/2012 12:00:00 AM,DTHOMAS,10/12/2012 12:00:00 AM,,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,,1397546,416592,
CUF,"2351 W MCMICKEN AV
Cincinnati, OH
(39.12488151065179, -84.53223926046934)",Graffiti removal,SR12042545,CLOSED  ,Graffiti on rear of building on mcmillan ave,09/12/2012 12:00:00 AM,7:01 AM,2351 W MCMICKEN AV - GJ1327133527,14,STANDARD,PHONE,9700010011,09/12/2012 12:00:00 AM,LSHACKELFORD,10/12/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1391840,416169,W 
